Name	MOA	Target	Disease Area	Indication	Vendor	Purity	Id	Phase
ABT-639	calcium channel blocker	CACNA1G, CACNA1H, CACNA1I			MedChemEx	96.74	BRD-K11792081-001-01-4	Phase 2
ABT-702	adenosine kinase inhibitor	ADK			Tocris, Tocris	87.52	BRD-K36021395-300-03-2, BRD-K36021395-300-02-4	Preclinical
ABT-724	dopamine receptor agonist	DRD4			Tocris	97.43	BRD-K37714784-305-02-1	Phase 2
ABT-737	BCL inhibitor	BCL2, BCL2L1, BCL2L2			Selleck, Selleck	87.14	BRD-K56301217-001-10-8, BRD-K56301217-001-07-4	Phase 1/Phase 2
ABT-751	tubulin polymerization inhibitor	TUBB			Selleck, Tocris, Selleck	96.81	BRD-K91623615-001-05-0, BRD-K91623615-001-06-8, BRD-K91623615-001-04-3	Phase 2
AC-186	estrogen receptor agonist	ESR2			Tocris	94.66	BRD-K53788420-001-01-1	Preclinical
AC-261066	retinoid receptor agonist	RARB			Tocris	92.33	BRD-K31144453-001-02-2	Preclinical
AC-264613	PAR agonist	F2RL1			Tocris, Tocris	95.07	BRD-K81548480-001-01-2, BRD-K81548480-001-02-0	Preclinical
AC-55541	PARP inhibitor	PARP2			MedChemEx	97.05	BRD-A27911617-001-01-7	Preclinical
AC-55649	retinoid receptor agonist	RARA, RARB			Tocris, Tocris	98.46	BRD-K93176058-001-03-6, BRD-K93176058-001-04-4	Preclinical
AC-710	PDGFR tyrosine kinase receptor inhibitor	CSF1R, FLT3, KIT, PDGFRA, PDGFRB			Tocris	98.87	BRD-K15819326-001-01-6	Preclinical
AC-7954-(+/-)	urotensin receptor agonist	UTS2R			Tocris, Tocris	95.87	BRD-A49544621-003-02-8, BRD-A49544621-003-03-6	Preclinical
acadesine	AMPK activator				Selleck, Tocris, Selleck	100	BRD-K53448858-001-09-6, BRD-K53448858-001-08-8, BRD-K53448858-001-07-0	Phase 3
acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitor	BTK			MedChemEx	88.47	BRD-K64034691-001-01-9	Phase 3
acalisib	PI3K inhibitor	PIK3CB, PIK3CD			MedChemEx	98.55	BRD-K92517771-001-01-2	Phase 1
acamprosate	glutamate receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5	neurology/psychiatry	abstinence from alcohol	MicroSource, Sigma	89.21	BRD-K26262077-238-01-5, BRD-K26262077-001-01-7	Launched
acarbose	glucosidase inhibitor	AMY2A, GAA, MGAM, SI	endocrinology	diabetes mellitus	Tocris, Tocris, MicroSource, Selleck	100	BRD-K44276885-001-06-6, BRD-K44276885-001-05-8, BRD-K44276885-001-08-2, BRD-K44276885-001-07-4	Launched
ACDPP	glutamate receptor antagonist	GRM5			Tocris	95.36	BRD-K68633617-003-02-9	Preclinical
acebutolol	adrenergic receptor antagonist	ADRB1, ADRB2	cardiology	hypertension, ventricular arrhythmias	MicroSource, Selleck	98.29	BRD-A29260609-003-26-0, BRD-A29260609-003-25-2	Launched
acecainide	polarization inhibitor	SCN5A			MicroSource	98.41	BRD-K07753030-003-17-6	Phase 3
aceclidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	ophthalmology	glaucoma	Selleck, MicroSource, Selleck	100	BRD-A32673558-003-03-9, BRD-A32673558-001-02-5, BRD-A32673558-003-04-7	Launched
aceclofenac	prostanoid receptor antagonist	PTGS2	rheumatology	rheumatoid arthritis, ankylosing spondylitis, osteoarthritis, periarthritis, lumbago, ischiadynia	MicroSource	98.5	BRD-K68538666-001-12-3	Launched
acedapsone			infectious disease	leprosy	MicroSource	77.47	BRD-K97417064-001-02-4	Launched
acedoben					MicroSource	95.14	BRD-K47195926-001-06-6	Phase 2
acefylline	adenosine receptor agonist	ADORA1	pulmonary	asthma	Prestwick	97.34	BRD-K44004064-001-07-3	Launched
aceglutamide			gastroenterology	peptic ulcer disease (PUD)	MicroSource	100	BRD-K13619941-213-01-8	Launched
acemetacin	cyclooxygenase inhibitor	PTGS1, PTGS2	rheumatology	osteoarthritis	MicroSource, Selleck	98.86	BRD-K67563174-001-17-6, BRD-K67563174-001-16-8	Launched
aceneuramic-acid		AZGP1, CES1, MBL2, REG1A, SELE, SELP, SIGLEC1			OxChem	100	BRD-K36262466-001-06-3	Phase 3
acenocoumarol	vitamin K antagonist	VKORC1	hematology	deep vein thrombosis (DVT)	MicroSource	99.56	BRD-A65051990-001-12-9	Launched
acepromazine	dopamine receptor antagonist	ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A	neurology/psychiatry	sedative	MicroSource	90.02	BRD-K37814297-050-09-6	Launched
acesulfame-potassium					Selleck, MicroSource, Selleck	88.18	BRD-K50850824-237-02-2, BRD-K50850824-237-03-0, BRD-K50850824-237-04-8	Phase 3
acetanilide	hydrogen peroxide decomposition inhibitor				MicroSource, Selleck	96.78	BRD-K11094367-001-10-1, BRD-K11094367-001-09-3	Preclinical
acetarsol			gastroenterology	diarrhea	MicroSource, Selleck	100	BRD-K99048103-001-19-2, BRD-K99048103-001-18-4	Launched
acetazolamide	carbonic anhydrase inhibitor	AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7	ophthalmology	glaucoma	MicroSource	97.61	BRD-K43457670-001-27-8	Launched
acetohexamide	ATP channel blocker	ABCC8, KCNJ1, KCNJ10, KCNJ11	endocrinology	diabetes mellitus	MicroSource, MedChemEx	92.87	BRD-K52960356-001-13-0, BRD-K52960356-001-15-5	Launched
acetohydroxamic-acid	urease inhibitor	MMP12	infectious disease	urinary tract infections	MicroSource	0	BRD-K21615095-001-08-4	Launched
acetophenazine	dopamine receptor antagonist	DRD1, DRD2	neurology/psychiatry	psychosis	MicroSource	85.87	BRD-K42938903-332-01-1	Launched
acetriazoic-acid					MicroSource, MedChemEx	96.57	BRD-K46416130-001-06-9, BRD-K46416130-001-07-7	Preclinical
acetyl-farnesyl-cysteine	methyltransferase inhibitor	PPARG	dermatology	acne vulgaris (AV)	Cayman, Enzo	81.86	BRD-K79437791-001-06-5, BRD-K79437791-001-05-7	Launched
acetyl-l-leucine			neurology/psychiatry	vertigo	MicroSource	100	BRD-K27406233-001-07-7	Launched
acetyl-11-keto-beta-boswellic-acid	lipoxygenase inhibitor	HSD11B1, HSD11B2			AnalytiCon	0	BRD-A44696962-001-01-4	Phase 2
acetylcholine	acetylcholine receptor agonist	ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2	neurology/psychiatry, gastroenterology, pulmonary	drowsiness, fatigue, headache, indigestion, chest congestion	MicroSource, Selleck	100	BRD-K82381502-003-24-9, BRD-K82381502-003-23-1	Launched
acetylcysteine	mucolytic agent	ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11	gastroenterology	acetaminophen overdose, hepatic injury	Selleck, MicroSource, Selleck	88.97	BRD-K59058747-001-19-1, BRD-K59058747-001-20-9, BRD-K59058747-001-18-3	Launched
acetylsalicylsalicylic-acid	cyclooxygenase inhibitor				Prestwick	93.66	BRD-K46585355-001-14-3	Preclinical
acexamic-acid	5 alpha reductase inhibitor	GAST	dermatology	wound healing	MicroSource	100	BRD-K72215350-001-06-5	Launched
acifran	cholesterol inhibitor	HCAR2, HCAR3			Tocris, Tocris	98.05	BRD-A29520968-001-03-5, BRD-A29520968-001-02-7	Phase 3
acipimox	cholesterol inhibitor	HCAR2	endocrinology	hyperlipidemia	Tocris, MicroSource, Selleck	98.26	BRD-K63736853-001-06-3, BRD-K63736853-001-04-8, BRD-K63736853-001-03-0	Launched
acitazanolast	mediator release inhibitor		allergy	allergic rhinitis	LifeChem, LifeChem	96.68	BRD-K74236708-001-01-9, BRD-K74236708-001-02-7	Launched
acitretin	retinoid receptor agonist	RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3	dermatology	psoriasis	Selleck, Selleck	96.4	BRD-K62012036-001-14-4, BRD-K62012036-001-13-6	Launched
acivicin	gamma glutamyltransferase Inhibitors	CTPS1			Enzo	100	BRD-K13050541-001-01-9	Phase 2
aclarubicin	topoisomerase inhibitor	TOP1, TOP2A	hematologic malignancy	acute myeloid leukemia (AML)	Vitas-M, Vitas-M	24.47	BRD-A80805100-001-02-7, BRD-A80805100-001-01-9	Launched
aclidinium	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	pulmonary	bronchitis, emphysema, chronic obstructive pulmonary disease (COPD)	Selleck	95.22	BRD-K74363950-004-01-0	Launched
ACPC	glutamate receptor antagonist				Enzo	85.02	BRD-K66465025-001-05-1	Phase 1
acriflavine	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection	Sigma	32.92	BRD-M87138257-003-01-1	Launched
acriflavinium	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection	MicroSource	37.65	BRD-K97874492-003-12-3	Launched
acrisorcin	other antifungal		infectious disease	fungal infection	MicroSource	61.47	BRD-M49658242-001-04-1	Launched
acrivastine	histamine receptor antagonist	HRH1	allergy	allergic rhinitis	Enzo	89.65	BRD-K50163129-001-01-4	Launched
acrylate	mucus protecting agent				Sigma	0	BRD-M00184283-001-01-1	Phase 3
ACT-132577	endothelin receptor antagonist	EDNRA, EDNRB	pulmonary	pulmonary arterial hypertension (PAH)	MedChemEx, MedChemEx, MedChemEx	80.39	BRD-K34843150-001-03-0, BRD-K34843150-001-02-2, BRD-K34843150-001-01-4	Launched
ACT-462206	orexin receptor antagonist	HCRTR1, HCRTR2			Tocris, Sigma	97.06	BRD-K19781342-001-02-2, BRD-K19781342-001-01-4	Phase 1
actarit	interleukin receptor agonist		rheumatology	rheumatoid arthritis	MicroSource	96.94	BRD-K33483813-001-10-0	Launched
ACTB-1003	FGFR inhibitor, VEGFR inhibitor	KDR, TEK			MedChemEx	95.17	BRD-K35936936-001-01-6	Phase 1
actinomycin-d	RNA polymerase inhibitor		oncology	Wilm's tumor, Ewing's sarcoma, rhabdomyosarcoma, testicular carcinoma	MedChemEx, MedChemEx	81.15	BRD-K16547679-001-01-5, BRD-A42383464-001-06-3	Launched
actinoquinol					MicroSource	85.47	BRD-K08837089-236-01-6	Preclinical
ACY-1215	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC6, HDAC8			Selleck	93.15	BRD-K82928847-001-04-7	Phase 1/Phase 2
acyclovir	DNA polymerase inhibitor	PNP	infectious disease	genitial herpes, shingles, chicken pox	Tocris, MicroSource, Tocris, Selleck, Selleck	100	BRD-K32318651-001-26-0, BRD-K32318651-001-23-7, BRD-K32318651-001-22-9, BRD-K32318651-001-21-1, BRD-K32318651-001-24-5	Launched
AC1NDSS5					Sigma	75.43	BRD-K10226125-245-01-5	Phase 1
AD-5467	aldose reductase inhibitor	AKR1B1			Maybridge, Maybridge	88.22	BRD-A80280426-001-02-0, BRD-A80280426-001-03-8	Phase 2
adapalene	retinoid receptor agonist	RARA, RARB, RARG, RXRA, RXRB, RXRG	dermatology	acne vulgaris (AV)	Tocris, Selleck, MicroSource	99.81	BRD-K33127281-001-06-4, BRD-K33127281-001-04-9, BRD-K33127281-001-05-6	Launched
adaprev	TGF beta receptor inhibitor	IGF2R, M6PR			TCI	59.36	BRD-A73427433-240-01-3	Phase 3
adaptavir	CC chemokine receptor antagonist	CCR5			Tocris	89.21	BRD-K37151368-001-01-7	Phase 2
adarotene	retinoid receptor agonist	RARB, RARG			MedChemEx	93.85	BRD-K00152668-001-01-5	Phase 1
adatanserin	serotonin receptor agonist, serotonin receptor antagonist	HTR1A, HTR2A			Enamine	87.69	BRD-K67789209-001-01-0	Phase 2
ADD-233089	benzodiazepine receptor agonist				MedChemEx	98.53	BRD-K43055376-001-01-2	Phase 1
adefovir	DNA polymerase inhibitor		infectious disease	hepatitis B	AKSci, Sigma	99.1	BRD-K77484724-001-02-0, BRD-K77484724-001-03-8	Launched
adefovir-dipivoxil	DNA polymerase inhibitor		infectious disease	hepatitis B	Selleck, Selleck	86.36	BRD-K96159438-001-07-1, BRD-K96159438-001-06-3	Launched
adelmidrol	anti-inflammatory agent				MicroSource	53.55	BRD-K78097265-001-01-6	Phase 2/Phase 3
ademetionine	methyltransferase stimulant, phosphodiesterase inhibitor	AMD1, CBS, COMT, GNMT, MAT1A, MAT2A	neurology/psychiatry	depression, attention-deficit/hyperactivity disorder (ADHD)	MedChemEx, MedChemEx	0	BRD-K78185697-001-02-5, BRD-K78185697-001-01-7	Launched
adenine	protein synthesis stimulant	ACACB, ACP1, APRT, MTAP, PECR, SRPK2			Selleck, MicroSource, Selleck, Selleck	97.86	BRD-K26060080-065-05-6, BRD-K26060080-001-11-9, BRD-K26060080-003-07-3, BRD-K26060080-001-10-1	Preclinical
adenosine	adenosine receptor agonist	ADORA1, ADORA2A, ADORA2B, ADORA3, PI4K2A, PI4K2B, TRPM4	cardiology	Wolff-Parkinson-White Syndrome (WPW)	MicroSource, Selleck	96.7	BRD-K01577834-001-15-1, BRD-K01577834-001-16-9	Launched
adenosine-phosphate	adenosine receptor agonist	ACSL1, ACSS1, ACSS2, ADCY1, ADK, CREB1, FBP1, HINT1, PDE4B, PDE4D, PIM1, PRKAA1, PRKAB1, PRKAB2, PYGL, TRPM4			MicroSource	100	BRD-A10111329-001-04-6	Launched
adenosine-triphosphate	adenosine receptor agonist	ABCA1, ABCB1, ABCB11, ABCC2, ABCC8, ABCC9, ABCG1, ABL1, ABL2, ACSL1, ACSS1, ACSS2, ACVR1, ACVR1B, ACVRL1, ADCY1, ADRBK1, ADRBK2, AFG3L2, AKT1, ALK, AMHR2, APAF1, ARAF, ASNA1, ASNS, ASS1, CDK15, GPR17, ITPR1, NAE1, NT5C2, P2RY1, P2RY11, P2RY13, P2RY2, P2RY4, PRKAA1, RYR1, RYR2, RYR3, SLC25A4, TNK2, TRPM4, TRPM7			MicroSource, Selleck, Selleck	83.47	BRD-A31990649-304-04-9, BRD-A31990649-304-02-3, BRD-A31990649-304-03-1	Phase 2
adiphenine	acetylcholine receptor antagonist	CHRNA1	neurology/psychiatry	spasms	MicroSource, Selleck	94.95	BRD-K60907894-003-23-5, BRD-K60907894-003-22-7	Launched
adipic-acid	solute carrier family member inhibitor	SLC22A6			Enamine	100	BRD-K10656395-001-02-1	Preclinical
adiporon	adiponectin receptor agonist	ADIPOR1, ADIPOR2			Selleck, Tocris, Selleck	98.48	BRD-K68810443-001-01-9, BRD-K68810443-003-01-5, BRD-K68810443-001-02-7	Preclinical
ADL5859	opioid receptor agonist	OPRD1			Selleck, Selleck	96.95	BRD-K39624409-003-02-6, BRD-K39624409-003-03-4	Phase 2
adoprazine	dopamine receptor antagonist, serotonin receptor agonist	DRD2, HTR1A			MedChemEx	95.25	BRD-K34870043-001-01-8	Phase 2
adrafinil	adrenergic receptor agonist		neurology/psychiatry	fatigue	MedChemEx, MedChemEx	96.69	BRD-A90926615-001-02-7, BRD-A90926615-001-01-9	Launched
adrenalone	adrenergic receptor agonist	ADRA1A	hematology	hemorrhage	Selleck, MicroSource	91.31	BRD-K82343404-003-02-4, BRD-K82343404-003-03-2	Launched
adrenosterone	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1, HSD11B2			MedChemEx	98.71	BRD-K17368287-001-18-3	Preclinical
ADX-10059	glutamate receptor negative allosteric modulator	GRM5			Tocris	94.68	BRD-K77911775-003-01-8	Phase 2
ADX-47273	glutamate receptor modulator	GRM5			Selleck	96.63	BRD-K56543881-001-02-7	Preclinical
AEE788	EGFR inhibitor, VEGFR inhibitor	EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR			Selleck, Selleck, Tocris	96.82	BRD-K40718343-001-03-4, BRD-K40718343-001-02-6, BRD-K40718343-001-04-2	Phase 1/Phase 2
AEG3482	HSP inducer				Tocris, Tocris	97.67	BRD-K77634909-001-03-5, BRD-K77634909-001-05-0	Preclinical
afalanine	dopamine receptor agonist	DRD2			MicroSource	98.01	BRD-K53205568-001-02-6	Phase 3
afatinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	oncology	non-small cell lung cancer (NSCLC)	MedChemEx, Selleck, Selleck	99.28	BRD-K66175015-332-01-6, BRD-K66175015-001-13-2, BRD-K66175015-001-09-0	Launched
afimoxifene	estrogen receptor antagonist	ESR1, ESR2, ESRRG, PLD1, PRKCD, PRKCE, PRKCQ, PRKCZ			Sigma	47.39	BRD-K04210847-001-21-9	Phase 2
afloqualone	acetylcholine receptor antagonist		neurology/psychiatry	sedative	AKSci	97.87	BRD-K69247067-001-01-8	Launched
AFN-1252	FABI inhibitor				MedChemEx	95.38	BRD-K23791635-001-01-3	Phase 2
afobazole	anxiolytic		neurology/psychiatry	anxiety	MedChemEx	98.16	BRD-K37793595-003-01-7	Launched
AF38469	sortilin inhibitor	SORT1			MedChemEx	96.02	BRD-K47816470-001-01-8	Preclinical
AG-1024	insulin growth factor receptor inhibitor	IGF1R			Selleck	91.46	BRD-K08310154-001-03-8	Preclinical
AG-14361	PARP inhibitor	PARP1			Selleck, Selleck	95.36	BRD-K00615600-001-12-9, BRD-K00615600-001-13-7	Preclinical
AG-490	EGFR inhibitor, JAK inhibitor	EGFR, JAK2, JAK3			Selleck, Tocris, Selleck	90.64	BRD-K47105409-001-15-2, BRD-K47105409-001-14-5, BRD-K47105409-001-13-7	Preclinical
AG-555	tyrosine kinase inhibitor	CDK2			Tocris	58.16	BRD-K34428485-001-18-4	Preclinical
AG-556	tyrosine kinase inhibitor				Tocris	57.92	BRD-K81048131-001-02-4	Preclinical
AGI-5198	isocitrate dehydrogenase inhibitor	IDH1			Selleck	98.97	BRD-A56371469-001-03-3	Preclinical
AGI-6780	isocitrate dehydrogenase inhibitor	IDH2			Selleck	96.02	BRD-K04691817-001-01-8	Preclinical
AGM-1470	cell cycle inhibitor	METAP2			Enzo	58.76	BRD-A78111609-001-01-2	Phase 2
agmatine	nitric oxide synthase inhibitor	ADRA2C, ASIC3, CACNA1B, CHRNA1, GRIN1, KCNJ1, NISCH			Enzo	0	BRD-K49738308-065-04-9	Phase 3
AGN-192403	imidazoline receptor ligand	NISCH			Tocris, Tocris	100	BRD-A18074780-003-02-0, BRD-A18074780-003-04-6	Preclinical
AGN-194310	retinoid receptor antagonist	RXRA, RXRB, RXRG			MedChemEx	96.23	BRD-K70262971-001-01-9	Phase 3
AGN-195183	retinoid receptor agonist	RARA			MedChemEx	94.51	BRD-K32533226-001-01-3	Phase 1/Phase 2
agomelatine	melatonin receptor agonist, serotonin receptor antagonist	HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B	neurology/psychiatry	depression	Selleck	98.23	BRD-K84698278-001-03-4	Launched
AGP-103	membrane permeability inhibitor				Enzo	91.5	BRD-K91495480-001-02-2	Launched
AH-7614	free fatty acid receptor antagonist	FFAR4			Tocris	95.83	BRD-K10852420-001-02-5	Preclinical
AH11110	adrenergic receptor ligand	ADRA1B			Tocris	98.96	BRD-A64808605-003-02-7	Preclinical
AH6809	prostanoid receptor antagonist	PTGDR, PTGER1, PTGER2, PTGER3			Tocris, Tocris	96.06	BRD-K59339270-001-03-4, BRD-K59339270-001-02-6	Preclinical
AI-10-49	core binding factor inhibitor	CBFB			MedChemEx	92.82	BRD-K89899948-001-01-7	Preclinical
AIM-100	tyrosine kinase inhibitor	TNK2			Tocris	98.41	BRD-K85139301-001-01-3	Preclinical
ajmaline	sodium channel blocker	SCN5A	cardiology	Wolff-Parkinson-White Syndrome (WPW)	MicroSource	81.81	BRD-A48300215-001-04-8	Launched
AJ76-(+)	dopamine receptor antagonist	DRD2, DRD3, DRD4			Tocris	94.73	BRD-K76677554-003-02-1	Preclinical
AK-7	SIRT inhibitor	SIRT2			Tocris	96.33	BRD-K09143580-001-01-0	Preclinical
AKBA	lipoxygenase inhibitor	ALOX5			MedChemEx	90.39	BRD-K54907283-001-01-2	Phase 3
aklomide			infectious disease	coccidiosis	MicroSource	98.9	BRD-K26807903-001-04-3	Launched
AL-8697	p38 MAPK inhibitor	MAPK14			Tocris	99.77	BRD-K44731351-001-01-6	Preclinical
alacepril	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension	Key	98.51	BRD-K51784806-001-01-6	Launched
alafosfalin	bacterial cell wall synthesis inhibitor				Sigma	93.9	BRD-K80403280-001-02-1	Phase 1
alagebrium	glycosylation inhibitor				OxChem	87.59	BRD-K96029467-003-01-9	Phase 2/Phase 3
alanine		AARS, AARS2, ABAT, AGXT, AGXT2, GPRC6A, GPT, GPT2, KYNU, NFS1, PHYKPL, SLC1A4, SLC36A1, SLC7A8			Sigma	69.19	BRD-A33317514-001-01-3	Launched
alantolactone	apoptosis stimulant, STAT inhibitor	STAT3			Tocris	86.65	BRD-K53731810-001-04-3	Preclinical
alaproclate	serotonin receptor antagonist	SLC6A4			AlfaAesar	95.15	BRD-A14966924-003-07-7	Phase 2
alarelin	gonadotropin releasing factor hormone receptor antagonist	GNRH1			MedChemEx	96.08	BRD-K42140276-402-01-4	Launched
albendazole	tubulin polymerization inhibitor	TUBA1A, TUBB, TUBB4B	infectious disease	cystic hydatid disease, parenchymal neurocysticercosis	MicroSource, Selleck	93.82	BRD-K79131256-001-18-7, BRD-K79131256-001-17-9	Launched
albendazole-oxide	anthelmintic agent		infectious disease	cystic hydatid disease, parenchymal neurocysticercosis	Selleck	97.13	BRD-A67060370-001-02-9	Launched
albuterol	adrenergic receptor agonist	ADRB1, ADRB2	pulmonary	asthma	MicroSource, Selleck	94.73	BRD-A88254928-001-07-9, BRD-A88254928-065-04-1	Launched
alcaftadine	histamine receptor antagonist	HRH1	allergy	allergic conjunctivitis	MedChemEx	99.28	BRD-K55991142-001-01-6	Launched
alclofenac	cyclooxygenase inhibitor	PTGS1	rheumatology	rheumatoid arthritis	Sigma	96.73	BRD-K47492008-001-02-7	Launched
alclometasone-dipropionate	glucocorticoid receptor agonist	CYP3A4, NR3C1, SERPINA6	dermatology	corticosteroid-responsive dermatoses	Prestwick	97.41	BRD-A17407635-001-04-0	Launched
alcuronium	muscle relaxant	CHRM1, CHRM2, CHRM3, CHRM4, CHRNA7	neurology/psychiatry	muscle relaxant	Prestwick	89.64	BRD-A84907376-300-03-8	Launched
alda-1	aldehyde dehydrogenase activator	ALDH2			Tocris	96.06	BRD-K06890060-001-09-1	Preclinical
aldoxorubicin	topoisomerase inhibitor	TOP2A			MedChemEx, MedChemEx, MedChemEx	55.08	BRD-K68928792-001-03-2, BRD-K68928792-001-01-6, BRD-K68928792-001-02-4	Phase 3
alectinib	ALK tyrosine kinase receptor inhibitor	ALK, MET	oncology	non-small cell lung cancer (NSCLC)	Selleck, Selleck	98.17	BRD-K11267252-001-06-9, BRD-K11267252-001-04-4	Launched
